,BGT,difficulty,power
513,13.0,257748580,1.0
514,9.0,257748580,1.0
515,10.0,257748580,1.0
516,3.0,261775901,1.0
517,2.0,265866149,1.0
518,2.0,270020307,1.0
519,7.0,270020307,1.0
520,6.0,274239374,1.0
521,11.0,274239374,1.0
522,22.0,265669393,1.0
523,3.0,269820477,1.0
524,9.0,269820477,1.0
525,12.0,269820477,1.0
526,4.0,274036421,1.0
527,19.0,269754601,1.0
528,4.0,273969516,1.0
529,19.0,269688742,1.0
530,1.0,273902628,1.0
531,18.0,269622899,1.0
532,27.0,261197183,1.0
533,12.0,261197183,1.0
534,7.0,261197183,1.0
535,1.0,265278388,1.0
536,10.0,265278388,1.0
537,16.0,261133413,1.0
538,1.0,265213622,1.0
539,37.0,248637770,1.0
540,19.0,244752804,1.0
541,4.0,248577066,1.0
542,5.0,252461082,1.0
543,13.0,252461082,1.0
544,7.0,252461082,1.0
545,17.0,248516377,1.0
546,6.0,252399445,1.0
547,24.0,244511962,1.0
548,3.0,248332461,1.0
549,5.0,252212655,1.0
550,20.0,248271832,1.0
551,27.0,240513337,1.0
552,41.0,225481253,1.0
553,6.0,229004397,1.0
554,18.0,225426203,1.0
555,2.0,228948487,1.0
556,1.0,232525807,1.0
557,8.0,232525807,1.0
558,7.0,232525807,1.0
559,4.0,236159022,1.0
560,12.0,236159022,1.0
561,4.0,239849006,1.0
562,2.0,243596646,1.0
563,4.0,247402843,1.0
564,2.0,251268512,1.0
565,3.0,255194582,1.0
566,7.0,255194582,1.0
567,3.0,259181997,1.0
568,6.0,263231715,1.0
569,16.0,259118719,1.0
570,17.0,255069989,1.0
571,8.0,255069989,1.0
572,3.0,259055457,1.0
573,5.0,263103198,1.0
574,2.0,267214185,1.0
575,34.0,254688520,1.0
576,10.0,254688520,1.0
577,16.0,250709011,1.0
578,5.0,254626339,1.0
579,19.0,250647802,1.0
580,4.0,254564173,1.0
581,10.0,254564173,1.0
582,1.0,258541738,1.0
583,9.0,258541738,1.0
584,7.0,258541738,1.0
585,6.0,262581452,1.0
586,21.0,254375781,1.0
587,13.0,254375781,1.0
588,3.0,258350402,1.0
589,12.0,258350402,1.0
590,3.0,262387127,1.0
591,12.0,262387127,1.0
592,19.0,258287328,1.0
593,3.0,262323067,1.0
594,11.0,262323067,1.0
595,2.0,266421864,1.0
596,1.0,270584705,1.0
597,6.0,274812591,1.0
598,10.0,274812591,1.0
599,31.0,261930750,1.0
600,3.0,266023417,1.0
601,24.0,257710185,1.0
602,11.0,257710185,1.0
603,27.0,249656741,1.0
604,3.0,253557627,1.0
605,17.0,249595789,1.0
606,11.0,249595789,1.0
607,7.0,249595789,1.0
608,20.0,245695854,1.0
609,4.0,249534851,1.0
610,6.0,253433833,1.0
611,1.0,257393736,1.0
612,3.0,261415513,1.0
613,1.0,265500130,1.0
614,29.0,253054811,1.0
615,34.0,241192866,1.0
616,2.0,244961504,1.0
617,1.0,248789027,1.0
618,5.0,252676355,1.0
619,3.0,256624423,1.0
620,3.0,260634179,1.0
621,2.0,264706588,1.0
622,3.0,268842628,1.0
623,18.0,264641961,1.0
624,5.0,268776991,1.0
625,1.0,272976631,1.0
626,16.0,268711371,1.0
627,24.0,260314140,1.0
628,4.0,264381548,1.0
629,45.0,243726739,1.0
630,15.0,239918508,1.0
631,5.0,243667234,1.0
632,3.0,247474534,1.0
633,1.0,251341323,1.0
634,4.0,255268531,1.0
635,19.0,251279960,1.0
636,1.0,255206209,1.0
637,18.0,251218611,1.0
638,10.0,251218611,1.0
639,9.0,251218611,1.0
640,3.0,255143901,1.0
641,20.0,251157277,1.0
642,1.0,255081609,1.0
643,21.0,247110308,1.0
644,3.0,250971406,1.0
645,13.0,250971406,1.0
646,3.0,254892834,1.0
647,4.0,258875534,1.0
648,21.0,250785673,1.0
649,23.0,242948620,1.0
650,8.0,242948620,1.0
651,1.0,246744692,1.0
652,2.0,250600077,1.0
653,20.0,246684450,1.0
654,17.0,242830005,1.0
655,8.0,242830005,1.0
656,9.0,242830005,1.0
657,16.0,239035786,1.0
658,1.0,242770720,1.0
659,4.0,246564012,1.0
660,11.0,246564012,1.0
661,3.0,250416574,1.0
662,1.0,254329332,1.0
663,28.0,242407644,1.0
664,7.0,242407644,1.0
665,1.0,246195263,1.0
666,8.0,246195263,1.0
667,13.0,246195263,1.0
668,8.0,246195263,1.0
669,6.0,250042063,1.0
670,1.0,253948970,1.0
671,9.0,253948970,1.0
672,5.0,257916922,1.0
673,6.0,261946873,1.0
674,2.0,266039792,1.0
675,14.0,261882920,1.0
676,1.0,265974840,1.0
677,29.0,253507269,1.0
678,30.0,241624115,1.0
679,1.0,245399491,1.0
680,8.0,245399491,1.0
681,10.0,245399491,1.0
682,19.0,241565123,1.0
683,11.0,241565123,1.0
684,7.0,241565123,1.0
685,17.0,237790667,1.0
686,6.0,241506146,1.0
687,1.0,245279679,1.0
688,2.0,249112173,1.0
689,22.0,241327417,1.0
690,6.0,245098157,1.0
691,1.0,248927815,1.0
692,9.0,248927815,1.0
693,9.0,248927815,1.0
694,2.0,252817312,1.0
695,5.0,256767582,1.0
696,10.0,256767582,1.0
697,11.0,256767582,1.0
698,4.0,260779575,1.0
699,2.0,264854255,1.0
700,10.0,264854255,1.0
701,12.0,264854255,1.0
702,17.0,260715907,1.0
703,1.0,264789593,1.0
704,30.0,252377580,1.0
705,14.0,248434180,1.0
706,6.0,252315964,1.0
707,7.0,252315964,1.0
708,11.0,252315964,1.0
709,8.0,252315964,1.0
710,8.0,252315964,1.0
711,32.0,240488653,1.0
712,20.0,236731017,1.0
713,5.0,240429939,1.0
714,3.0,244186656,1.0
715,21.0,236555823,1.0
716,7.0,236555823,1.0
717,1.0,240252007,1.0
718,6.0,244005944,1.0
719,13.0,244005944,1.0
720,3.0,247818536,1.0
721,7.0,247818536,1.0
722,5.0,251690700,1.0
723,28.0,239892698,1.0
724,5.0,243641021,1.0
725,11.0,243641021,1.0
726,1.0,247447911,1.0
727,20.0,243581537,1.0
728,3.0,247387498,1.0
729,2.0,251252927,1.0
730,5.0,255178753,1.0
731,2.0,259165921,1.0
732,20.0,255116453,1.0
733,5.0,259102647,1.0
734,1.0,263151125,1.0
735,18.0,259039388,1.0
736,5.0,263086878,1.0
737,2.0,267197610,1.0
738,3.0,271372572,1.0
739,3.0,275612768,1.0
740,18.0,271306318,1.0
741,2.0,275545479,1.0
742,29.0,262629284,1.0
743,16.0,258525701,1.0
744,1.0,262565165,1.0
745,37.0,246154842,1.0
746,7.0,246154842,1.0
747,10.0,246154842,1.0
748,2.0,250001011,1.0
749,13.0,250001011,1.0
750,3.0,253907276,1.0
751,23.0,245972673,1.0
752,4.0,249815996,1.0
753,3.0,253719370,1.0
754,11.0,253719370,1.0
755,18.0,249755004,1.0
756,26.0,241950160,1.0
757,4.0,245730631,1.0
758,4.0,249570172,1.0
759,5.0,253469705,1.0
760,10.0,253469705,1.0
761,9.0,253469705,1.0
762,5.0,257430169,1.0
763,11.0,257430169,1.0
764,5.0,261452515,1.0
765,5.0,265537710,1.0
766,15.0,261388683,1.0
767,7.0,261388683,1.0
768,1.0,265472881,1.0
769,12.0,265472881,1.0
770,24.0,257176853,1.0
771,1.0,261195241,1.0
772,21.0,253032889,1.0
773,3.0,256986527,1.0
774,3.0,261001941,1.0
775,8.0,261001941,1.0
776,20.0,256923785,1.0
777,3.0,260938219,1.0
778,14.0,256861059,1.0
779,2.0,260874513,1.0
780,6.0,264950677,1.0
781,9.0,264950677,1.0
782,1.0,269090531,1.0
783,15.0,264885991,1.0
784,2.0,269024834,1.0
785,12.0,269024834,1.0
786,1.0,273228347,1.0
787,10.0,273228347,1.0
788,9.0,273228347,1.0
789,2.0,277497539,1.0
790,11.0,277497539,1.0
791,2.0,281833438,1.0
792,3.0,286237085,1.0
793,8.0,286237085,1.0
794,13.0,286237085,1.0
795,13.0,286237085,1.0
796,24.0,277292176,1.0
797,6.0,281624866,1.0
798,3.0,286025254,1.0
799,2.0,290494398,1.0
800,11.0,290494398,1.0
801,1.0,295033372,1.0
802,6.0,299643268,1.0
803,2.0,304325194,1.0
804,23.0,294815031,1.0
805,6.0,299421515,1.0
806,29.0,285386131,1.0
807,1.0,289845289,1.0
808,5.0,294374121,1.0
809,1.0,298973716,1.0
810,13.0,298973716,1.0
811,1.0,303645180,1.0
812,14.0,298900724,1.0
813,25.0,289560076,1.0
814,51.0,262413818,1.0
815,7.0,262413818,1.0
816,15.0,258313602,1.0
817,13.0,258313602,1.0
818,25.0,250241301,1.0
819,6.0,254151321,1.0
820,4.0,258122435,1.0
821,10.0,258122435,1.0
822,18.0,254089271,1.0
823,13.0,254089271,1.0
824,18.0,250119126,1.0
825,4.0,254027237,1.0
826,1.0,257996412,1.0
827,3.0,262027605,1.0
828,3.0,266121786,1.0
829,7.0,266121786,1.0
830,1.0,270279938,1.0
831,17.0,266056813,1.0
832,18.0,261899675,1.0
833,3.0,265991857,1.0
834,18.0,261835734,1.0
835,6.0,265926917,1.0
836,14.0,261771808,1.0
837,12.0,261771808,1.0
838,3.0,265861992,1.0
839,11.0,265861992,1.0
840,8.0,265861992,1.0
841,4.0,270016085,1.0
842,20.0,265797083,1.0
843,5.0,269950162,1.0
844,7.0,269950162,1.0
845,18.0,265732190,1.0
846,6.0,269884255,1.0
847,24.0,261450372,1.0
848,16.0,257365209,1.0
849,1.0,261386540,1.0
850,11.0,261386540,1.0
851,29.0,249134045,1.0
852,6.0,253026764,1.0
853,2.0,256980307,1.0
854,25.0,248949672,1.0
855,1.0,252839510,1.0
856,5.0,256790127,1.0
857,3.0,260802472,1.0
858,27.0,252652394,1.0
859,7.0,252652394,1.0
860,13.0,252652394,1.0
861,3.0,256600087,1.0
862,3.0,260609463,1.0
863,3.0,264681485,1.0
864,5.0,268817133,1.0
865,10.0,268817133,1.0
866,6.0,273017400,1.0
867,15.0,268751503,1.0
868,17.0,264552260,1.0
869,2.0,268685889,1.0
870,3.0,272884106,1.0
871,13.0,272884106,1.0
872,11.0,272884106,1.0
873,12.0,272884106,1.0
874,9.0,272884106,1.0
875,23.0,264356477,1.0
876,9.0,264356477,1.0
877,20.0,260225907,1.0
878,2.0,264291936,1.0
879,2.0,268421497,1.0
880,12.0,268421497,1.0
881,7.0,268421497,1.0
882,10.0,268421497,1.0
883,28.0,255839239,1.0
884,1.0,259836727,1.0
885,3.0,263896675,1.0
886,3.0,268020060,1.0
887,10.0,268020060,1.0
888,5.0,272207873,1.0
889,4.0,276461121,1.0
890,14.0,272141415,1.0
891,16.0,267889205,1.0
892,2.0,272074973,1.0
893,27.0,263572630,1.0
894,28.0,251217662,1.0
895,10.0,251217662,1.0
896,14.0,247292386,1.0
897,7.0,247292386,1.0
898,5.0,251156329,1.0
899,5.0,255080646,1.0
900,15.0,251095010,1.0
901,11.0,251095010,1.0
902,13.0,251095010,1.0
903,2.0,255018369,1.0
904,27.0,247049044,1.0
905,8.0,247049044,1.0
906,4.0,250909185,1.0
907,5.0,254829641,1.0
908,7.0,254829641,1.0
909,3.0,258811354,1.0
910,2.0,262855281,1.0
911,3.0,266962394,1.0
912,4.0,271133681,1.0
913,6.0,275370144,1.0
914,4.0,279672802,1.0
915,21.0,270933026,1.0
916,29.0,258233040,1.0
917,16.0,254198148,1.0
918,10.0,254198148,1.0
919,1.0,258169994,1.0
920,7.0,258169994,1.0
921,1.0,262203900,1.0
922,1.0,266300835,1.0
923,6.0,270461785,1.0
924,5.0,274687750,1.0
925,1.0,278979746,1.0
926,5.0,283338804,1.0
927,13.0,283338804,1.0
928,4.0,287765972,1.0
929,7.0,287765972,1.0
930,1.0,292262315,1.0
931,5.0,296828913,1.0
932,5.0,301466864,1.0
933,24.0,292046024,1.0
934,20.0,287482804,1.0
935,35.0,269515128,1.0
936,10.0,269515128,1.0
937,11.0,269515128,1.0
938,5.0,273726301,1.0
939,13.0,273726301,1.0
940,2.0,278003274,1.0
941,4.0,282347075,1.0
942,19.0,277935401,1.0
943,4.0,282278141,1.0
944,4.0,286688736,1.0
945,34.0,273250201,1.0
946,1.0,277519735,1.0
947,4.0,281855980,1.0
948,13.0,281855980,1.0
949,31.0,268643980,1.0
950,15.0,264446417,1.0
951,5.0,268578392,1.0
952,1.0,272774929,1.0
953,19.0,268512820,1.0
954,4.0,272708332,1.0
955,42.0,251402993,1.0
956,9.0,251402993,1.0
957,16.0,247474821,1.0
958,12.0,247474821,1.0
959,8.0,247474821,1.0
960,6.0,251341615,1.0
961,2.0,255268827,1.0
962,3.0,259257402,1.0
963,5.0,263308298,1.0
964,8.0,263308298,1.0
965,3.0,267422490,1.0
966,30.0,254887060,1.0
967,15.0,250904449,1.0
968,7.0,250904449,1.0
969,9.0,250904449,1.0
970,3.0,254824831,1.0
971,14.0,250843193,1.0
972,4.0,254762617,1.0
973,9.0,254762617,1.0
974,2.0,258743282,1.0
975,1.0,262786145,1.0
976,9.0,262786145,1.0
977,16.0,258680111,1.0
978,3.0,262721987,1.0
979,11.0,262721987,1.0
980,6.0,266827018,1.0
981,17.0,262657845,1.0
982,10.0,262657845,1.0
983,22.0,254449787,1.0
984,13.0,254449787,1.0
985,3.0,258425564,1.0
986,6.0,262463463,1.0
987,5.0,266564454,1.0
988,11.0,266564454,1.0
989,11.0,266564454,1.0
990,15.0,262399384,1.0
991,17.0,258299393,1.0
992,4.0,262335321,1.0
993,7.0,262335321,1.0
994,1.0,266434310,1.0
995,3.0,270597346,1.0
996,7.0,270597346,1.0
